Rk,Wk,Winner,WPts,,Loser,LPts
364,6,South Alabama,0,@,Louisiana,0
365,6,South Carolina State,0,@,South Carolina,0
366,6,Southern Methodist,0,@,Central Florida,0
367,6,Stanford,0,@,(11) Oregon,0
368,6,Temple,0,@,Memphis,0
369,6,(6) Texas A&M,0,@,Mississippi State,0
370,6,Texas State,0,@,James Madison,0
371,6,Texas Tech,0,@,Kansas State,0
372,6,Texas-El Paso,0,@,Charlotte,0
373,6,Troy,0,@,Western Kentucky,0
374,6,Virginia,0,@,Duke,0
375,6,Virginia Tech,0,@,North Carolina,0
376,6,Wagner,0,@,Syracuse,0
377,6,(22) Wake Forest,0,@,Florida State,0
378,6,West Virginia,0,@,Texas,0
379,7,Colorado State,0,@,Nevada,0
380,7,(24) Houston,0,@,Memphis,0
381,7,Nebraska,0,@,Rutgers,0
382,7,Nevada-Las Vegas,0,@,San Jose State,0
383,7,Air Force,0,@,Utah State,0
384,7,Akron,0,@,Ohio,0
385,7,Appalachian State,0,@,Texas State,0
386,7,(19) Arkansas,0,@,Mississippi State,0
387,7,Army,0,@,(22) Wake Forest,0
388,7,Auburn,0,@,(3) Georgia,0
389,7,Ball State,0,@,Central Michigan,0
390,7,Buffalo,0,@,Bowling Green,0
391,7,(4) Clemson,0,@,Boston College,0
392,7,Coastal Carolina,0,@,Louisiana-Monroe,0
393,7,Connecticut,0,@,Florida International,0
394,7,Duke,0,@,Georgia Tech,0
395,7,East Carolina,0,@,Tulane,0
396,7,Eastern Michigan,0,@,Western Michigan,0
397,7,Florida State,0,@,(13) North Carolina State,0
398,7,Fresno State,0,@,Boise State,0
399,7,Georgia Southern,0,@,Georgia State,0
400,7,Hawaii,0,@,San Diego State,0
401,7,Iowa,0,@,Illinois,0
402,7,James Madison,0,@,Arkansas State,0
403,7,Kansas State,0,@,Iowa State,0
404,7,Kent State,0,@,Miami (OH),0
405,7,Liberty,0,@,Massachusetts,0
406,7,Louisville,0,@,Virginia,0
407,7,(8) Michigan,0,@,Indiana,0
408,7,Middle Tennessee State,0,@,Alabama-Birmingham,0
409,7,(21) Mississippi,0,@,Vanderbilt,0
410,7,Missouri,0,@,Florida,0
411,7,North Carolina,0,@,(16) Miami (FL),0
412,7,(5) Notre Dame,0,N,(25) Brigham Young,0
413,7,(2) Ohio State,0,@,(15) Michigan State,0
414,7,(11) Oregon,0,@,Arizona,0
415,7,Oregon State,0,@,Stanford,0
416,7,Purdue,0,@,Maryland,0
417,7,South Carolina,0,@,(20) Kentucky,0
418,7,South Florida,0,@,(23) Cincinnati,0
419,7,Southern Mississippi,0,@,Troy,0
420,7,Tennessee,0,@,Louisiana State,0
421,7,Texas,0,N,(9) Oklahoma,0
422,7,(6) Texas A&M,0,@,(1) Alabama,0
423,7,Texas Christian,0,@,Kansas,0
424,7,Texas Tech,0,@,(12) Oklahoma State,0
425,7,Texas-El Paso,0,@,Louisiana Tech,0
426,7,Toledo,0,@,Northern Illinois,0
427,7,Tulsa,0,@,Navy,0
428,7,(7) Utah,0,@,UCLA,0
429,7,Virginia Tech,0,@,(17) Pittsburgh,0
430,7,Washington,0,@,Arizona State,0
431,7,Washington State,0,@,(14) Southern California,0
432,7,Western Kentucky,0,@,Texas-San Antonio,0
433,7,(18) Wisconsin,0,@,Northwestern,0
434,7,Wyoming,0,@,New Mexico,0
435,8,Louisiana,0,@,Marshall,0
436,8,(10) Baylor,0,@,West Virginia,0
437,8,Temple,0,@,Central Florida,0
438,8,Navy,0,@,Southern Methodist,0
439,8,Texas-San Antonio,0,@,Florida International,0
440,8,Air Force,0,@,Nevada-Las Vegas,0
441,8,(1) Alabama,0,@,Tennessee,0
442,8,Arizona,0,@,Washington,0
443,8,(19) Arkansas,0,@,(25) Brigham Young,0
444,8,Arkansas State,0,@,Southern Mississippi,0
445,8,Auburn,0,@,(21) Mississippi,0
446,8,Buffalo,0,@,Massachusetts,0
447,8,California,0,@,Colorado,0
448,8,Central Michigan,0,@,Akron,0
449,8,Charlotte,0,@,Alabama-Birmingham,0
450,8,(4) Clemson,0,@,Florida State,0
451,8,Colgate,0,@,Army,0
452,8,Connecticut,0,@,Ball State,0
453,8,Gardner-Webb,0,@,Liberty,0
454,8,Iowa State,0,@,Texas,0
455,8,James Madison,0,@,Georgia Southern,0
456,8,Kansas,0,@,(9) Oklahoma,0
457,8,Kent State,0,@,Toledo,0
458,8,Louisiana State,0,@,Florida,0
459,8,Louisiana Tech,0,@,North Texas,0
460,8,Louisiana-Monroe,0,@,South Alabama,0
461,8,Maryland,0,@,Indiana,0
462,8,Memphis,0,@,East Carolina,0
463,8,(16) Miami (FL),0,@,Virginia Tech,0
464,8,Miami (OH),0,@,Bowling Green,0
465,8,Minnesota,0,@,Illinois,0
466,8,Mississippi State,0,@,(20) Kentucky,0
467,8,Nebraska,0,@,Purdue,0
468,8,New Mexico,0,@,New Mexico State,0
469,8,North Carolina,0,@,Duke,0
470,8,(13) North Carolina State,0,@,Syracuse,0
471,8,Northern Illinois,0,@,Eastern Michigan,0
472,8,Ohio,0,@,Western Michigan,0
473,8,(12) Oklahoma State,0,@,Texas Christian,0
474,8,Old Dominion,0,@,Coastal Carolina,0
475,8,Penn State,0,@,(8) Michigan,0
476,8,Rice,0,@,Florida Atlantic,0
477,8,San Jose State,0,@,Fresno State,0
478,8,(14) Southern California,0,@,(7) Utah,0
479,8,Stanford,0,@,(5) Notre Dame,0
480,8,Texas State,0,@,Troy,0
481,8,Tulane,0,@,South Florida,0
482,8,Utah State,0,@,Colorado State,0
483,8,Vanderbilt,0,@,(3) Georgia,0
484,8,Washington State,0,@,Oregon State,0
485,8,Western Kentucky,0,@,Middle Tennessee State,0
486,8,(18) Wisconsin,0,@,(15) Michigan State,0
487,8,Nevada,0,@,Hawaii,0
488,9,Georgia State,0,@,Appalachian State,0
489,9,Troy,0,@,South Alabama,0
490,9,Virginia,0,@,Georgia Tech,0
491,9,Alabama-Birmingham,0,@,Western Kentucky,0
492,9,Tulsa,0,@,Temple,0
493,9,Akron,0,@,Kent State,0
494,9,Arizona State,0,@,Stanford,0
