Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
254,5,Sep 21 2019,3:30 PM,Sat,Kent State,62,,Bowling Green State,20,
255,5,Sep 21 2019,6:00 PM,Sat,Liberty,62,,Hampton,27,
256,5,Sep 21 2019,2:00 PM,Sat,Louisiana,45,@,Ohio,25,
257,5,Sep 21 2019,12:00 PM,Sat,(4) Louisiana State,66,@,Vanderbilt,38,
258,5,Sep 21 2019,8:00 PM,Sat,Louisiana Tech,43,,Florida International,31,
259,5,Sep 21 2019,4:00 PM,Sat,Miami (FL),17,,Central Michigan,12,
260,5,Sep 21 2019,12:00 PM,Sat,Michigan State,31,@,Northwestern,10,
261,5,Sep 21 2019,4:00 PM,Sat,Mississippi State,28,,Kentucky,13,
262,5,Sep 21 2019,4:00 PM,Sat,Missouri,34,,South Carolina,14,
263,5,Sep 21 2019,8:00 PM,Sat,Nebraska,42,@,Illinois,38,
264,5,Sep 21 2019,8:00 PM,Sat,Nevada,37,@,Texas-El Paso,21,
265,5,Sep 21 2019,4:30 PM,Sat,New Mexico,55,,New Mexico State,52,
266,5,Sep 21 2019,7:00 PM,Sat,North Carolina State,34,,Ball State,23,
267,5,Sep 21 2019,7:30 PM,Sat,North Texas,45,,Texas-San Antonio,3,
268,5,Sep 21 2019,3:30 PM,Sat,(6) Ohio State,76,,Miami (OH),5,
269,5,Sep 21 2019,7:00 PM,Sat,(16) Oregon,21,@,Stanford,6,
270,5,Sep 21 2019,3:30 PM,Sat,Pittsburgh,35,,(15) Central Florida,34,
271,5,Sep 21 2019,7:30 PM,Sat,San Jose State,31,@,Arkansas,24,
272,5,Sep 21 2019,3:30 PM,Sat,Southern Methodist,41,@,(25) Texas Christian,38,
273,5,Sep 21 2019,12:00 PM,Sat,Syracuse,52,,Western Michigan,33,
274,5,Sep 21 2019,7:30 PM,Sat,(12) Texas,36,,Oklahoma State,30,
275,5,Sep 21 2019,7:00 PM,Sat,Texas State,37,,Georgia State,34,
276,5,Sep 21 2019,10:15 PM,Sat,Toledo,41,@,Colorado State,35,
